01:59:05: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 52] Logger initialized
01:59:05: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 65] Command created
01:59:05: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 0.0, 4.0)
01:59:05: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 0.0, 1.0)
01:59:06: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 0.0, 0.6666666666666666)
01:59:06: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 0.0, 0.5)
01:59:07: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 0.0, 0.4)
01:59:07: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 0.0, 0.3333333333333333)
01:59:08: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 0.0, 0.2857142857142857)
01:59:08: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 2.5, 0.25)
01:59:09: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 4.444444444444445, 0.2222222222222222)
01:59:09: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 6.0, 0.2)
01:59:10: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
01:59:21: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (1.6666666666666667, 6.666666666666667, 0.16666666666666666)
