14:39:56: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 45] Logger initialized
14:39:56: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 57] HeartbeatSender created successfully
14:39:56: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
14:39:57: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
14:39:58: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
14:39:59: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
14:40:00: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
14:40:01: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
14:40:02: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
14:40:03: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
14:40:04: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
14:40:05: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
14:40:06: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
14:40:07: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 65] Worker exiting
