14:55:34: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
14:55:35: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | main | 140] Connected!
14:55:35: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE ALTITUDE: 1.00
14:55:36: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE ALTITUDE: -1.00
14:55:39: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: 63.43
14:55:39: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: 90.00
14:55:40: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: 116.57
14:55:40: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: 45.00
14:55:41: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: 63.43
14:55:41: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: 90.00
14:55:42: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: 26.57
14:55:42: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: 45.00
14:55:43: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: 90.00
14:55:43: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: 45.00
14:55:44: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: 90.00
14:55:44: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: 135.00
14:55:45: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: -26.57
14:55:45: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: -45.00
14:55:46: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: -90.00
14:55:46: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: -45.00
14:55:47: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: -90.00
14:55:47: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: -135.00
14:55:48: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: -63.43
14:55:48: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: -90.00
14:55:49: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: -116.57
14:55:49: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: -45.00
14:55:50: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: -63.43
14:55:50: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] CHANGE YAW: -90.00
14:55:51: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] None
14:55:51: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] None
14:55:51: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] None
14:55:51: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] None
14:55:51: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] None
14:55:51: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] None
14:55:51: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] None
14:55:51: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] None
14:55:51: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] None
14:55:51: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 84] None
